Code,Disease,ToMerge
57700,evision of cervix,
57720,evision of cervix,
57800,Dilation of cervical canal,
58100,Biopsy of uterus lining,
58110,Bx done w/colposcopy add-on,
58120,ilation and curettage,
58140,emoval of uterus lesion,
58145,moval of uterus lesion,
58146,yomectomy abdom complex,
58150,otal hysterectomy,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
58152,otal hysterectomy,
58180,artial hysterectomy,
58200,xtensive hysterectomy,
58210,xtensive hysterectomy,
58240,emoval of pelvis contents,
58260,aginal hysterectomy,
58262,aginal hysterectomy,
58263,aginal hysterectomy,
58267,ysterectomy & vagina repair,
58270,ysterectomy & vagina repair,
58275,ysterectomy/revise vagina,
58280,ysterectomy/revise vagina,
58285,xtensive hysterectomy,
58290,ag hyst complex,
58291,"ag hyst incl t/o, complex",
58292,"ag hyst t/o & repair, compl",
58293,"ag hyst w/uro repair, compl",
58294,"ag hyst w/enterocele, compl",
58300,Insert intrauterine device,
58301,Remove intrauterine device,
58321,Artificial insemination,
58322,Artificial insemination,
58323,Sperm washing,
58340,Catheter for hysterography,
58345,eopen fallopian tube,
58346,nsert heyman uteri capsule,
58350,eopen fallopian tube,
58353,"ndometr ablate, thermal",
58356,ndometrial cryoablation,
58400,uspension of uterus,
58410,uspension of uterus,
58520,epair of ruptured uterus,
58540,evision of uterus,
58541,"sh, uterus 250 g or less",
58542,sh w/t/o ut 250 g or less,
58543,sh uterus above 250 g,
58544,sh w/t/o uterus above 250 g,
58545,paroscopic myomectomy,
58546,"paro-myomectomy, complex",
58548,ap radical hyst,
58550,paro-asst vag hysterectomy,
58552,paro-vag hyst incl t/o,
58553,"aparo-vag hyst, complex",
58554,"aparo-vag hyst w/t/o, compl",
58555,"ysteroscopy, dx, sep proc",
58558,"ysteroscopy, biopsy",
58559,"ysteroscopy, lysis",
58560,"ysteroscopy, resect septum",
58561,"ysteroscopy, remove myoma",
58562,"ysteroscopy, remove fb",
58563,"ysteroscopy, ablation",
58565,"ysteroscopy, sterilization",
58570,"LH, Uterus 250 g or less",
58571,LH w/t/o 250 g or less,
58572,"LH, uterus over 250 g",
58573,LH w/t/o uterus over 250 g,
58574,Tprnl Plmt Biodegrdabl Matrl,
58575,Laps Tot Hyst Resj Mal,
58578,"Laparo proc, uterus",
58579,Hysteroscope procedure,
58600,ivision of fallopian tube,
58605,ivision of fallopian tube,
58611,Ligate oviduct(s) add-on,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
58615,cclude fallopian tube(s),
58660,"paroscopy, lysis",
58661,"paroscopy, remove adnexa",
58662,"paroscopy, excise lesions",
58670,"aparoscopy, tubal cautery",
58671,"aparoscopy, tubal block",
58672,"aparoscopy, fimbrioplasty",
58673,"aparoscopy, salpingostomy",
58679,"Laparo proc, oviduct-ovary",
58700,emoval of fallopian tube,
58720,emoval of ovary/tube(s),
58740,evise fallopian tube(s),
58750,epair oviduct,
58752,evise ovarian tube(s),
58760,emove tubal obstruction,
58770,reate new tubal opening,
58800,rainage of ovarian cyst(s),
58805,ainage of ovarian cyst(s),
58820,"rain ovary abscess, open",
58822,"rain ovary abscess, percut",
58825,"ransposition, ovary(s)",
58900,opsy of ovary(s),
58920,artial removal of ovary(s),
58925,emoval of ovarian cyst(s),
58940,emoval of ovary(s),
58943,emoval of ovary(s),
58950,esect ovarian malignancy,
58951,esect ovarian malignancy,
58952,esect ovarian malignancy,
58953,"ah, rad dissect for debulk",
58954,ah rad debulk/lymph remove,
58956,"so, omentectomy w/tah",
58957,esect recurrent gyn mal,
58958,esect recur gyn mal w/lym,
58960,xploration of abdomen,
58970,Retrieval of oocyte,
58974,Transfer of embryo,
58976,Transfer of embryo,
58999,"Genital surgery procedure, u",nlisted
59000,"Amniocentesis, diagnostic",
59001,"Amniocentesis, therapeutic",
59012,"Fetal cord puncture,prenatal",
59015,Chorion biopsy,
59020,etal contract stress test,
59020,09 Fetal contract stress tes,t
59020,07 Fetal contract stress tes,t
59025,etal non-stress test,
59025,09 Fetal non-stress test,
59025,07 Fetal non-stress test,
59030,Fetal scalp blood sample,
59050,Fetal monitor w/report,
59051,Fetal monitor/interpret only,
59070,Transabdom amnioinfus w/ us,
59072,Umbilical cord occlud w/ us,
59074,Fetal fluid drainage w/ us,
59076,"Fetal shunt placement, w/ us",
59100,emove uterus lesion,
59120,reat ectopic pregnancy,
59121,reat ectopic pregnancy,
59130,reat ectopic pregnancy,
59135,reat ectopic pregnancy,
59136,reat ectopic pregnancy,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
59140,reat ectopic pregnancy,
59150,reat ectopic pregnancy,
59151,reat ectopic pregnancy,
59160,& c after delivery,
59200,Insert cervical dilator,
59300,pisiotomy or vaginal repair,
59320,Revision of cervix,
59325,Revision of cervix,
59350,Repair of uterus,
59400,Obstetrical care,
59409,Obstetrical care,
59410,Obstetrical care,
59412,Antepartum manipulation,
59414,Deliver placenta,
59425,Antepartum care only,
59426,Antepartum care only,
59430,Care after delivery,
59510,Cesarean delivery,
59514,Cesarean delivery only,
59515,Cesarean delivery,
59525,Remove uterus after cesarean,
59610,Vbac delivery,
59612,Vbac delivery only,
59614,Vbac care after delivery,
59618,Attempted vbac delivery,
59620,Attempted vbac delivery only,
59622,Attempted vbac after care,
59812,reatment of miscarriage,
59820,are of miscarriage,
59821,reatment of miscarriage,
59830,reat uterus infection,
59840,bortion,
59841,bortion,
59850,bortion,
59851,bortion,
59852,bortion,
59855,bortion,
59856,bortion,
59857,bortion,
59866,Abortion (mpr),
59870,vacuate mole of uterus,
59871,Remove cerclage suture,
59897,Fetal invas px w/ us,
59898,Laparo proc ob care/deliver,
59899,Maternity care procedure,
60000,rain thyroid/tongue cyst,
60100,Biopsy of thyroid,
60200,move thyroid lesion,
60210,rtial thyroid excision,
60212,rital thyroid excision,
60220,rtial removal of thyroid,
60225,rtial removal of thyroid,
60240,emoval of thyroid,
60252,emoval of thyroid,
60254,xtensive thyroid surgery,
60260,epeat thyroid surgery,
60270,emoval of thyroid,
60271,emoval of thyroid,
60280,move thyroid duct lesion,
60281,move thyroid duct lesion,
60300,Aspir/inj thyroid cyst,
60500,xplore parathyroid glands,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
60502,e-explore parathyroids,
60505,xplore parathyroid glands,
60512,Autotransplant parathyroid,
60520,emoval of thymus gland,
60521,emoval of thymus gland,
60522,emoval of thymus gland,
60540,xplore adrenal gland,
60545,xplore adrenal gland,
60600,emove carotid body lesion,
60605,emove carotid body lesion,
60650,aparoscopy adrenalectomy,
60659,"Laparo proc, endocrine",
60699,"Endocrine surgery procedure,",unlisted
61000,Remove cranial cavity fluid,
61001,Remove cranial cavity fluid,
61020,Remove brain cavity fluid,
61026,Injection into brain canal,
61050,emove brain canal fluid,
61055,Injection into brain canal,
61070,Brain canal shunt procedure,
61105,wist drill hole,
61107,Drill skull for implantation,
61108,rill skull for drainage,
61120,urr hole for puncture,
61140,ierce skull for biopsy,
61150,ierce skull for drainage,
61151,ierce skull for drainage,
61154,ierce skull & remove clot,
61156,ierce skull for drainage,
61210,"Pierce skull, implant device",
61215,nsert brain-fluid device,
61250,ierce skull & explore,
61253,ierce skull & explore,
61304,pen skull for exploration,
61305,pen skull for exploration,
61312,pen skull for drainage,
61313,pen skull for drainage,
61314,pen skull for drainage,
61315,pen skull for drainage,
61316,Implant cran bone flap to ab,do
61320,pen skull for drainage,
61321,pen skull for drainage,
61322,ecompressive craniotomy,
61323,ecompressive lobectomy,
61330,compress eye socket,
61332,xplore/biopsy eye socket,
61333,xplore orbit/remove lesion,
61340,elieve cranial pressure,
61343,ncise skull (press relief),
61345,elieve cranial pressure,
61450,ncise skull for surgery,
61458,ncise skull for brain wound,
61460,ncise skull for surgery,
61480,ncise skull for surgery,
61500,emoval of skull lesion,
61501,emove infected skull bone,
61510,emoval of brain lesion,
61512,emove brain lining lesion,
61514,emoval of brain abscess,
61516,emoval of brain lesion,
61517,Implant brain chemotx add-on,
61518,emoval of brain lesion,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
61519,emove brain lining lesion,
61520,emoval of brain lesion,
61521,emoval of brain lesion,
61522,emoval of brain abscess,
61524,emoval of brain lesion,
61526,emoval of brain lesion,
61530,emoval of brain lesion,
61531,mplant brain electrodes,
61533,mplant brain electrodes,
61534,emoval of brain lesion,
61535,emove brain electrodes,
61536,emoval of brain lesion,
61537,emoval of brain tissue,
61538,emoval of brain tissue,
61539,emoval of brain tissue,
61540,emoval of brain tissue,
61542,emoval of brain tissue,
61543,emoval of brain tissue,
61544,emove & treat brain lesion,
61545,xcision of brain tumor,
61546,emoval of pituitary gland,
61548,emoval of pituitary gland,
61550,elease of skull seams,
61552,elease of skull seams,
61556,ncise skull/sutures,
61557,ncise skull/sutures,
61558,xcision of skull/sutures,
61559,xcision of skull/sutures,
61563,xcision of skull tumor,
61564,xcision of skull tumor,
61566,emoval of brain tissue,
61567,ncision of brain tissue,
61570,"emove foreign body, brain",
61571,ncise skull for brain wound,
61575,kull base/brainstem surgery,
61576,kull base/brainstem surgery,
61580,"aniofacial approach, skull",
61581,"raniofacial approach, skull",
61582,"raniofacial approach, skull",
61583,"raniofacial approach, skull",
61584,bitocranial approach/skull,
61585,rbitocranial approach/skull,
61586,"esect nasopharynx, skull",
61590,nfratemporal approach/skull,
61591,nfratemporal approach/skull,
61592,rbitocranial approach/skull,
61595,ranstemporal approach/skull,
61596,ranscochlear approach/skull,
61597,ranscondylar approach/skull,
61598,ranspetrosal approach/skull,
61600,esect/excise cranial lesion,
61601,esect/excise cranial lesion,
61605,esect/excise cranial lesion,
61606,esect/excise cranial lesion,
61607,sect/excise cranial lesion,
61608,sect/excise cranial lesion,
61610,"Transect artery, sinus",
61611,"Transect artery, sinus",
61612,"Transect artery, sinus",
61613,"emove aneurysm, sinus",
61615,"esect/excise lesion, skull",
61616,"esect/excise lesion, skull",
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
61618,epair dura,
61619,epair dura,
61623,Endovasc tempory vessel occl,
61624,Occlusion/embolization cath,
61626,Occlusion/embolization cath,
61630,Intracranial angioplasty,
61635,Intracran angioplsty w/stent,
61640,"Dilate ic vasospasm, init",
61641,Dilate ic vasospasm add-on,
61642,Dilate ic vasospasm add-on,
61645,Perq art m-thrombect &/nfs,
61650,Evasc prlng admn rx agnt 1st,
61651,Evasc prlng admn rx agnt add,
61680,ntracranial vessel surgery,
61682,ntracranial vessel surgery,
61684,ntracranial vessel surgery,
61686,ntracranial vessel surgery,
61690,ntracranial vessel surgery,
61692,ntracranial vessel surgery,
61697,"rain aneurysm repr, complx",
61698,"rain aneurysm repr, complx",
61700,"rain aneurysm repr , simple",
61702,nner skull vessel surgery,
61703,lamp neck artery,
61705,evise circulation to head,
61708,evise circulation to head,
61710,evise circulation to head,
61711,usion of skull arteries,
61720,ncise skull/brain surgery,
61735,ncise skull/brain surgery,
61750,ncise skull/brain biopsy,
61751,rain biopsy w/ ct/mr guide,
61760,mplant brain electrodes,
61770,ncise skull for treatment,
61781,Scan proc cranial intra,
61782,Scan proc cranial extra,
61783,Scan proc spinal,
61790,reat trigeminal nerve,
61791,reat trigeminal tract,
61796,"rs, cranial lesion simple",
61797,"Srs, cran les simple, addl",
61798,"rs, cranial lesion complex",
61799,"Srs, cran les complex, addl",
61800,Apply srs headframe add-on,
61850,mplant neuroelectrodes,
61860,mplant neuroelectrodes,
61863,mplant neuroelectrode,
61864,"Implant neuroelectrde, addGÇ",Öl
61867,mplant neuroelectrode,
61868,"Implant neuroelectrde, addGÇ",Öl
61870,mplant neuroelectrodes,
61880,evise/remove neuroelectrode,
61885,mplant neurostim one array,
61886,mplant neurostim arrays,
61888,evise/remove neuroreceiver,
62000,reat skull fracture,
62005,reat skull fracture,
62010,reatment of head injury,
62100,epair brain fluid leakage,
62115,eduction of skull defect,
62117,eduction of skull defect,
62120,epair skull cavity lesion,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
62121,ncise skull repair,
62140,epair of skull defect,
62141,epair of skull defect,
62142,emove skull plate/flap,
62143,eplace skull plate/flap,
62145,epair of skull & brain,
62146,epair of skull with graft,
62147,epair of skull with graft,
62148,Retr bone flap to fix skull,
62160,Neuroendoscopy add-on,
62161,issect brain w/scope,
62162,emove colloid cyst w/scope,
62163,neuroendoscopy w/fb removal,
62164,emove brain tumor w/scope,
62165,emove pituit tumor w/scope,
62180,stablish brain cavity shunt,
62190,stablish brain cavity shunt,
62192,stablish brain cavity shunt,
62194,eplace/irrigate catheter,
62200,stablish brain cavity shunt,
62201,stablish brain cavity shunt,
62220,stablish brain cavity shunt,
62223,stablish brain cavity shunt,
62225,eplace/irrigate catheter,
62230,place/revise brain shunt,
62252,Csf shunt reprogram,
62252,85 Csf shunt reprogram,
62252,85 Csf shunt reprogram,
62256,emove brain cavity shunt,
62258,eplace brain cavity shunt,
62263,ysis epidural adhesions,
62264,pidural lysis on single day,
62267,"nterdiscal perq aspir, dx",
62268,Drain spinal cord cyst,
62269,"Needle biopsy, spinal cord",
62270,"Spinal fluid tap, diagnostic",
62272,Drain cerebro spinal fluid,
62273,Treat epidural spine lesion,
62280,reat spinal cord lesion,
62281,reat spinal cord lesion,
62282,reat spinal canal lesion,
62284,Injection for myelogram,
62287,ercutaneous diskectomy,
62290,Inject for spine disk x-ray,
62291,Inject for spine disk x-ray,
62292,njection into disk lesion,
62294,njection into spinal artery,
62302,Myelography lumbar injection,
62303,Myelography lumbar injection,
62304,Cystourethro w/addl implant,
62305,Myelography lumbar injection,
62310,Inject spine c/t,
62311,Inject spine l/s (cd),
62318,"Inject spine w/cath, c/t",
62319,Inject spine w/cath l/s (cd),
62320,Njx Interlaminar Crv/Thrc,
62321,Njx Interlaminar Crv/Thrc,
62322,Njx Interlaminar Lmbr/Sac,
62323,Njx Interlaminar Lmbr/Sac,
62324,Njx Interlaminar Crv/Thrc,
62325,Njx Interlaminar Crv/Thrc,
62326,Njx Interlaminar Lmbr/Sac,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
62327,Njx Interlaminar Lmbr/Sac,
62328,Dx Lmbr Spi Pnxr W/Fluor/Ct,
62329,Ther Spi Pnxr Csf Fluor/Ct,
62350,mplant spinal canal cath,
62351,mplant spinal canal cath,
62355,emove spinal canal catheter,
62360,nsert spine infusion device,
62361,plant spine infusion pump,
62362,mplant spine infusion pump,
62365,emove spine infusion device,
62367,Analyze spine infus pump,
62368,Analyze sp inf pump w/reprog,
62369,Anal sp inf pmp w/reprg&fill,
62370,Anl sp inf pmp w/mdreprg&fil,
62380,Ndsc Dcmprn 1 Ntrspc Lumbar,
63001,emoval of spinal lamina,
63003,emoval of spinal lamina,
63005,emoval of spinal lamina,
63011,emoval of spinal lamina,
63012,emoval of spinal lamina,
63015,emoval of spinal lamina,
63016,emoval of spinal lamina,
63017,emoval of spinal lamina,
63020,eck spine disk surgery,
63030,ow back disk surgery,
63035,Spinal disk surgery add-on,
63040,"aminotomy, single cervical",
63042,"aminotomy, single lumbar",
63043,"Laminotomy, addl cervical",
63044,"Laminotomy, addl lumbar",
63045,emoval of spinal lamina,
63046,emoval of spinal lamina,
63047,emoval of spinal lamina,
63048,Remove spinal lamina add-on,
63050,ervical laminoplasty,
63051,#NAME?,
63055,ecompress spinal cord,
63056,ecompress spinal cord,
63057,Decompress spine cord add-on,
63064,ecompress spinal cord,
63066,Decompress spine cord add-on,
63075,eck spine disk surgery,
63076,Neck spine disk surgery,
63077,"pine disk surgery, thorax",
63078,"Spine disk surgery, thorax",
63081,moval of vertebral body,
63082,Remove vertebral body add-on,
63085,moval of vertebral body,
63086,Remove vertebral body add-on,
63087,moval of vertebral body,
63088,Remove vertebral body add-on,
63090,moval of vertebral body,
63091,Remove vertebral body add-on,
63101,emoval of vertebral body,
63102,emoval of vertebral body,
63103,Remove vertebral body add-on,
63170,ncise spinal cord tract(s),
63172,rainage of spinal cyst,
63173,rainage of spinal cyst,
63180,evise spinal cord ligaments,
63182,evise spinal cord ligaments,
63185,ncise spinal column/nerves,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
63190,ncise spinal column/nerves,
63191,ncise spinal column/nerves,
63194,ncise spinal column & cord,
63195,ncise spinal column & cord,
63196,ncise spinal column & cord,
63197,ncise spinal column & cord,
63198,"ncise spinal column & cord,",cerv.
63199,"ncise spinal column & cord,",thor.
63200,"elease of spinal cord, lumba",r
63250,evise spinal cord vessels,
63251,evise spinal cord vessels,
63252,evise spinal cord vessels,
63265,xcise intraspinal lesion,
63266,xcise intraspinal lesion,
63267,xcise intraspinal lesion,
63268,xcise intraspinal lesion,
63270,xcise intraspinal lesion,
63271,xcise intraspinal lesion,
63272,xcise intraspinal lesion,
63273,xcise intraspinal lesion,
63275,iopsy/excise spinal tumor,
63276,iopsy/excise spinal tumor,
63277,iopsy/excise spinal tumor,
63278,iopsy/excise spinal tumor,
63280,iopsy/excise spinal tumor,
63281,iopsy/excise spinal tumor,
63282,iopsy/excise spinal tumor,
63283,iopsy/excise spinal tumor,
63285,iopsy/excise spinal tumor,
63286,iopsy/excise spinal tumor,
63287,iopsy/excise spinal tumor,
63290,iopsy/excise spinal tumor,
63295,Repair of laminectomy defect,
63300,emoval of vertebral body,
63301,emoval of vertebral body,
63302,emoval of vertebral body,
63303,emoval of vertebral body,
63304,emoval of vertebral body,
63305,emoval of vertebral body,
63306,emoval of vertebral body,
63307,emoval of vertebral body,
63308,Remove vertebral body add-on,
63600,emove spinal cord lesion,
63610,Stimulation of spinal cord,
63615,emove lesion of spinal cord,
63620,"rs, spinal lesion",
63621,"Srs, spinal lesion, addl",
63650,mplant neuroelectrodes,
63655,mplant neuroelectrodes,
63661,"move spine eltrd perq array,",inc flourscpy
63662,"move spine eltrd plate, inc",flourscpy
63663,"visespine eltrd perq array,i",nc flourscpy
63664,"vise spine eltrd plate, inc",flourscpy
63685,mplant neuroreceiver,
63688,evise/remove neuroreceiver,
63700,epair of spinal herniation,
63702,epair of spinal herniation,
63704,epair of spinal herniation,
63706,epair of spinal herniation,
63707,epair spinal fluid leakage,
63709,epair spinal fluid leakage,
63710,raft repair of spine defect,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
63740,nstall spinal shunt,
63741,nstall spinal shunt,
63744,evision of spinal shunt,
63746,emoval of spinal shunt,
64400,Injection for nerve block,
64402,Injection for nerve block,
64405,Injection for nerve block,
64408,njection for nerve block,
64410,njection for nerve block,
64413,Injection for nerve block,
64415,Injection for nerve block,
64416,"N block cont infuse, b plex",
64417,Injection for nerve block,
64418,Injection for nerve block,
64420,Injection for nerve block,
64421,Injection for nerve block,
64425,Injection for nerve block,
64430,Injection for nerve block,
64435,Injection for nerve block,
64445,Injection for nerve block,
64446,"N blk inj, sciatic, cont inf",
64447,"N block inj fem, single",
64448,"N block inj fem, cont inf",
64449,"N block inj, lumbar plexus",
64450,"N block, other peripheral",
64451,Njx Aa&/Strd Nrv Nrvtg Si Jt,
64454,Njx Aa&/Strd Gnclr Nrv Brnch,
64455,"block inj, plantar digit",
64461,vb thoracic single inj site,
64462,vb thoracic 2nd+ inj site,
64463,vb thoracic cont infusion,
64479,Inj foramen epidural c/t,
64480,Inj foramen epidural add-on,
64483,Inj foramen epidural l/s,
64484,Inj foramen epidural add-on,
64486,Myelography lumbar injection,
64487,Tap block unil by injection,
64488,Tap block uni by infusion,
64489,Tap block bl injection,
64490,"nj paravert f jnt c/t 1 lev,",w/image guid
64491,Inj paravert f jnt c/t 2nd l,"ev, w/image guid"
64492,Inj paravert f jnt c/t 3rd+,"lev, w/image guid"
64493,nj paravert f fnt l/s 1 lev,
64494,Inj paravert f jnt l/s 2nd l,ev
64495,Inj paravert f jnt l/s 3rd+,lev
64505,Injection for nerve block,
64508,njection for nerve block,
64510,Injection for nerve block,
64517,"N block inj, hypogas plxs",
64520,Injection for nerve block,
64530,Injection for nerve block,
64550,Apply neurostimulator,
64553,mplant neuroelectrodes,
64555,mplant neuroelectrodes,
64561,mplant neuroelectrodes,
64565,mplant neuroelectrodes,
64566,euroeltrd stim post tibial,
64568,nc for vagus n elect impl,
64569,evise/repl vagus n eltrd,
64570,emove vagus n eltrd,
64575,mplant neuroelectrodes,
64580,mplant neuroelectrodes,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
64581,mplant neuroelectrodes,
64585,evise/remove neuroelectrode,
64590,mplant neuroreceiver,
64595,evise/remove neuroreceiver,
64600,njection treatment of nerve,
64605,njection treatment of nerve,
64610,njection treatment of nerve,
64611,hemodenerv saliv glands,
64612,"estroy nerve, face muscle",
64615,hemodenerv musc migraine,
64616,hemodenerv musc neck dyston,
64617,Chemodener muscle larynx emg,
64620,njection treatment of nerve,
64624,strj Nulyt Agt Gnclr Nrv,
64625,f Abltj Nrv Nrvtg Si Jt,
64630,njection treatment of nerve,
64632,"block inj, common digit",
64633,estroy cerv/thor facet jnt,
64634,estroy c/th facet jnt addl,
64635,estroy lumb/sac facet jnt,
64636,estroy l/s facet jnt addl,
64640,njection treatment of nerve,
64642,hemodenerv 1 extremity 1-4,
64643,hemodenerv 1 extrem 1-4 ea,
64644,hemodenerv 1 extrem 5/> mus,
64645,hemodenerv 1 extrem 5/> ea,
64646,hemodenerv trunk musc 1-5,
64647,hemodenerv trunk musc 6/>,
64650,Chemodenerv eccrine glands,
64653,Chemodenerv eccrine glands,
64680,njection treatment of nerve,
64681,njection treatment of nerve,
64702,evise finger/toe nerve,
64704,vise hand/foot nerve,
64708,vise arm/leg nerve,
64712,vision of sciatic nerve,
64713,vision of arm nerve(s),
64714,vise low back nerve(s),
64716,vision of cranial nerve,
64718,evise ulnar nerve at elbow,
64719,evise ulnar nerve at wrist,
64721,arpal tunnel surgery,
64722,lieve pressure on nerve(s),
64726,elease foot/toe nerve,
64727,Internal nerve revision,
64732,ncision of brow nerve,
64734,ncision of cheek nerve,
64736,ncision of chin nerve,
64738,ncision of jaw nerve,
64740,ncision of tongue nerve,
64742,ncision of facial nerve,
64744,"ncise nerve, back of head",
64746,ncise diaphragm nerve,
64755,ncision of stomach nerves,
64760,ncision of vagus nerve,
64763,ncise hip/thigh nerve,
64766,ncise hip/thigh nerve,
64771,ever cranial nerve,
64772,ncision of spinal nerve,
64774,emove skin nerve lesion,
64776,emove digit nerve lesion,
64778,Digit nerve surgery add-on,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
64782,emove limb nerve lesion,
64783,Limb nerve surgery add-on,
64784,emove nerve lesion,
64786,emove sciatic nerve lesion,
64787,Implant nerve end,
64788,emove skin nerve lesion,
64790,emoval of nerve lesion,
64792,emoval of nerve lesion,
64795,Biopsy of nerve,
64802,emove sympathetic nerves,
64804,emove sympathetic nerves,
64809,emove sympathetic nerves,
64818,emove sympathetic nerves,
64820,emove sympathetic nerves,
64821,emove sympathetic nerves,
64822,emove sympathetic nerves,
64823,emove sympathetic nerves,
64831,epair of digit nerve,
64832,Repair nerve add-on,
64834,epair of hand or foot nerve,
64835,epair of hand or foot nerve,
64836,epair of hand or foot nerve,
64837,Repair nerve add-on,
64840,epair of leg nerve,
64856,epair/transpose nerve,
64857,pair arm/leg nerve,
64858,pair sciatic nerve,
64859,Nerve surgery,
64861,pair of arm nerves,
64862,epair of low back nerves,
64864,pair of facial nerve,
64865,pair of facial nerve,
64866,usion of facial/other nerve,
64868,usion of facial/other nerve,
64872,Subsequent repair of nerve,
64874,Repair & revise nerve add-on,
64876,Repair nerve/shorten bone,
64885,"rve graft, head or neck",
64886,"rve graft, head or neck",
64890,"erve graft, hand or foot",
64891,"erve graft, hand or foot",
64892,"rve graft, arm or leg",
64893,"erve graft, arm or leg",
64895,"rve graft, hand or foot",
64896,"rve graft, hand or foot",
64897,"erve graft, arm or leg",
64898,"rve graft, arm or leg",
64901,Nerve graft add-on,
64902,Nerve graft add-on,
64905,rve pedicle transfer,
64907,rve pedicle transfer,
64910,erve repair w/allograft,
64911,eurorraphy w/vein autograft,
64912,rv Rpr W/Nrv Algrft 1St,
64913,rv Rpr W/Nrv Algrft Ea Addl,
64999,"Nervous system surgery, unli",sted
65091,vise eye,
65093,evise eye with implant,
65101,emoval of eye,
65103,emove eye/insert implant,
65105,move eye/attach implant,
65110,moval of eye,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
65112,move eye/revise socket,
65114,move eye/revise socket,
65125,evise ocular implant,
65130,nsert ocular implant,
65135,nsert ocular implant,
65140,ttach ocular implant,
65150,evise ocular implant,
65155,einsert ocular implant,
65175,emoval of ocular implant,
65205,Remove foreign body from eye,
65210,Remove foreign body from eye,
65220,Remove foreign body from eye,
65222,Remove foreign body from eye,
65235,emove foreign body from eye,
65260,emove foreign body from eye,
65265,move foreign body from eye,
65270,epair of eye wound,
65272,epair of eye wound,
65273,epair of eye wound,
65275,epair of eye wound,
65280,epair of eye wound,
65285,epair of eye wound,
65286,epair of eye wound,
65290,epair of eye socket wound,
65400,emoval of eye lesion,
65410,iopsy of cornea,
65420,emoval of eye lesion,
65426,emoval of eye lesion,
65430,Corneal smear,
65435,Curette/treat cornea,
65436,urette/treat cornea,
65450,reatment of corneal lesion,
